,ISIN,NAME
169,AU000000DUB3,Dubber
170,AU000000DXS1,Dexus
171,AU000000DYL4,Deep Yellow
172,AU000000EHL7,Emeco Holdings
173,AU000000ELD6,Elders
174,AU000000ELT2,Elementos
175,AU000000EMH5,European Metal
176,AU000000EML7,EML Payments
177,AU000000EQE3,Equus Mining
178,AU000000EQX3,Equatorial Resources
179,AU000000ERA9,Energy Resources
180,AU000000ERM4,Emmerson Resources
181,AU000000EUR7,European Lithium
182,AU000000EVN4,Evolution Mining
183,AU000000EVT1,Event Hospitality & Entmt
184,AU000000EXL4,Elixinol Global
185,AU000000EZL9,Euroz Hartleys Group
186,AU000000FBR4,FBR
187,AU000000FGR3,First Graphene
188,AU000000FLC5,Fluence
189,AU000000FLT9,Flight Centre Travel HANDELSUNIVERSUM
190,AU000000FMG4,Fortescue Metals
191,AU000000FML4,Focus Minerals
192,AU000000FMS9,Flinders Mines
193,AU000000FYI5,FYI Resources
194,AU000000FZR3,Fitzroy River
195,AU000000GBE0,Globe Metals & Mining
196,AU000000GBZ5,GBM Resources
197,AU000000GEM7,G8 Education
198,AU000000GME7,GME Resources
199,AU000000GMG2,Goodman Group
200,AU000000GNC9,Graincorp
201,AU000000GNX5,Genex Power
202,AU000000GOR5,Gold Road Resources
203,AU000000GOZ8,Growthpoint Properties
204,AU000000GPT8,GPT
205,AU000000GRR8,Grange Resources
206,AU000000GTG7,Genetic Technologies
207,AU000000HAS0,Hastins Technology
208,AU000000HAV4,Havilah Resources
209,AU000000HFR1,Highfield Resources
210,AU000000HLO6,Helloworld Travel
211,AU000000HMX5,Hammer Metals
212,AU000000HRN5,Horizon Gold
213,AU000000HVN7,Harvey Norman
214,AU000000HXG7,Hexagon Energy Materials
215,AU000000HZN8,Horizon Oil
216,AU000000HZR9,Hazer Group
217,AU000000IAG3,Insurance Australia Group
218,AU000000IGO4,IGO
219,AU000000IHL8,Impression Healthc.
220,AU000000ILU1,Iluka Resources
221,AU000000IMD5,Imdex
222,AU000000IMM6,Immutep
223,AU000000ING6,Inghams Group
224,AU000000IPL1,Incitec Pivot
225,AU000000IRE2,Iress
226,AU000000IVR6,Investitagor
227,AU000000JBH7,JB Hi-Fi
228,AU000000JHG6,Janus Henderson (CDI) HANDELSUNIVERSUM
229,AU000000JHX1,James Hardie
230,AU000000JIN0,Jumbo Interactive
231,AU000000JPR6,Jupiter Energy
232,AU000000JRV4,Jervois Mining
233,AU000000KAI5,Kairos Minerals
234,AU000000KAR6,Karoon Gas
235,AU000000KCN1,Kingsgate
236,AU000000KGL6,Kgl Resources
237,AU000000KGN2,Kogan.com
238,AU000000KLL6,Kalium Lakes
239,AU000000KP25,Kore Potash
240,AU000000KSN7,Kingston Resources
241,AU000000KZR3,Kalamazoo Resources
242,AU000000LCT6,Living Cell Technologies
243,AU000000LIT3,Lithium Australia
244,AU000000LKE1,Lake Resources
245,AU000000LLC3,Lendlease Group
246,AU000000LOM6,Lucapa Diamond
247,AU000000LPD2,Lepidico
248,AU000000LPI1,Lithium Power
249,AU000000LRS6,Latin Resources
250,AU000000LSA2,Lachlan Star
251,AU000000LTR4,Liontown Resources
252,AU000000LYC6,Lynas Rare Earths
253,AU000000MAT8,Matsa Resources
254,AU000000MCM9,MC Mining
255,AU000000MCR8,Mincor Resources
256,AU000000MCT4,Metalicity
257,AU000000MDI5,Middle Island Resources
258,AU000000MEM5,Memphasys
259,AU000000MFG4,Magellan Financial Grp
260,AU000000MGR9,Mirvac Group
261,AU000000MGV1,Musgrave Minerals
262,AU000000MGX7,Mount Gibson Iron
263,AU000000MIN4,Mineral Resources
264,AU000000MLM0,Metallica Minerals
265,AU000000MLX7,Metals X
266,AU000000MMI6,Metro Mining
267,AU000000MND5,Monadelphous Group HANDELSUNIVERSUM
268,AU000000MPL3,Medibank
269,AU000000MQG1,Macquarie Group
270,AU000000MRC8,Mineral Commodities
271,AU000000MSB8,Mesoblast
